YearsExperience,Salary
1.2,50000.00
3.4,60000.00
5.1,75000.00
2.7,52000.00
4.0,68000.00
6.3,80000.00
3.9,61000.00
7.2,82000.00
1.5,48000.00
8.1,90000.00
2.3,54000.00
4.7,70000.00
5.8,76000.00
6.5,81000.00
7.9,88000.00
1.1,47000.00
2.9,53000.00
3.6,62000.00
4.4,69000.00
5.0,74000.00
6.7,83000.00
7.5,87000.00
8.3,91000.00
1.8,49000.00
2.2,52000.00
3.1,60000.00
4.9,71000.00
5.3,75000.00
6.1,79000.00
7.0,85000.00
1.4,46000.00
2.6,54000.00
3.8,63000.00
4.2,67000.00
5.7,77000.00
6.9,84000.00
7.4,86000.00
8.2,92000.00
1.3,45000.00
2.5,53000.00
3.3,61000.00
4.8,73000.00
5.6,78000.00
6.4,80000.00
7.1,86000.00
8.0,89000.00
2.1,51000.00
3.2,59000.00
4.5,72000.00
5.9,76000.00
